8.19kB	WORKDIR /workspace
126MB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
4.1kB	WORKDIR /home/node
0B	USER node
16.4kB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
16.4kB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
16.4kB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
31.2MB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
111kB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
111kB	COPY .p10k.zsh /home/node/.p10k.zsh # buildk…
20.5kB	COPY init-firewall.sh /usr/local/bin/init-fi…
140MB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
0B	USER root
7.18MB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
26.2MB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
4.1kB	WORKDIR /home/node
0B	USER node
32.8kB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
8.13MB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
697MB	RUN |4 TZ= CLAUDE_CODE_VERSION=latest GIT_DE…
